date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,symbol,name
2022-01-04,35.16,35.3,35.42,34.84,9236.0,33067378.0,1.65,0.31,0.11,1.83,688001,华兴源创
2022-01-04,77.47,75.81,78.33,75.33,18229.0,139856650.0,3.85,-2.83,-2.21,0.71,688002,睿创微纳
2022-01-04,36.76,37.28,37.93,36.36,10700.0,41661074.0,4.33,2.9,1.05,1.46,688003,天准科技
2022-01-04,24.94,26.02,26.25,24.94,15064.0,55039436.0,5.27,4.62,1.15,3.79,688004,博汇科技
2022-01-04,84.24,80.72,86.51,78.7,14375441.0,14375441.0,0.0967542120911794,,,,688005,容百科技
2022-01-04,78.16,73.65,78.16,72.8,2383814.0,2383814.0,0.0727766463000678,,,,688006,杭可科技
2022-01-04,34.63,33.63,34.7,33.25,4288670.0,4288670.0,0.0431162652393696,,,,688007,光峰科技
2022-01-04,82.62,83.02,84.39,81.51,5789773.0,5789773.0,0.0346904360395085,,,,688008,澜起科技
2022-01-04,4.3,4.35,4.35,4.29,24474895.0,24474895.0,0.0137931034482757,,,,688009,中国通号
2022-01-04,26.63,27.28,27.67,26.63,1595185.0,1595185.0,0.0381231671554253,,,,688010,福光股份
2022-01-04,33.16,33.04,33.18,32.73,542072.0,542072.0,0.0136198547215497,,,,688011,新光光电
2022-01-04,126.31,119.31,127.08,117.2,19493831.0,19493831.0,0.0828094878886932,,,,688012,中微公司
2022-01-04,23.09,23.39,23.67,23.0,643013.0,643013.0,0.0286447199657974,,,,688013,天臣医疗
2022-01-04,35.73,34.27,35.73,33.73,780721.0,780721.0,0.0583600817041143,,,,688015,交控科技
2022-01-04,159.48,152.33,159.48,150.29,681837.0,681837.0,0.0603295476925096,,,,688016,心脉医疗
2022-01-04,122.61,120.31,128.32,119.04,901499.0,901499.0,0.0771340703183441,,,,688017,绿的谐波
2022-01-04,96.3,91.77,97.21,90.88,823635.0,823635.0,0.0689767898005884,,,,688018,乐鑫科技
2022-01-04,87.59,85.36,90.23,84.9,345743.0,345743.0,0.0624414245548266,,,,688019,安集科技
2022-01-04,90.75,88.51,92.96,87.73,579192.0,579192.0,0.0590893684329453,,,,688020,方邦股份
2022-01-04,52.8,52.94,53.24,51.32,276285.0,276285.0,0.0362674726105024,,,,688021,奥福科技
2022-01-04,46.34,45.12,48.12,44.25,2947369.0,2947369.0,0.0857712765957446,,,,688022,瀚川智能
2022-01-04,192.59,192.2,194.45,187.19,578949.0,578949.0,0.0377731529656607,,,,688023,安恒信息
2022-01-04,74.26,68.38,77.47,66.7,4466982.0,4466982.0,0.1575021936238665,,,,688025,杰普特
2022-01-04,62.24,59.6,62.91,58.5,1418204.0,1418204.0,0.0739932885906039,,,,688026,洁特生物
2022-01-04,173.53,174.0,174.5,173.29,352967.0,352967.0,0.0069540229885057,,,,688027,国盾量子
2022-01-04,31.88,33.22,33.45,31.72,1518916.0,1518916.0,0.0520770620108369,,,,688028,沃尔德
2022-01-04,147.43,143.5,149.04,140.93,1364790.0,1364790.0,0.0565156794425086,,,,688029,南微医学
2022-01-04,29.34,30.61,30.99,29.17,1887338.0,1887338.0,0.0594576935641946,,,,688030,山石网科
2022-01-04,218.9,202.63,220.84,196.31,715214.0,715214.0,0.1210580861669052,,,,688032,禾迈股份
2022-01-05,35.3,35.82,35.98,34.64,20299.0,73345037.0,3.8,1.47,0.52,4.03,688001,华兴源创
2022-01-05,75.81,73.26,76.45,72.75,23064.0,171552328.0,4.88,-3.36,-2.55,0.9,688002,睿创微纳
2022-01-05,37.48,36.63,37.68,36.33,9577.0,37019079.0,3.62,-1.74,-0.65,1.31,688003,天准科技
2022-01-05,26.31,25.95,26.75,25.74,12692.0,46900319.0,3.88,-0.27,-0.07,3.19,688004,博汇科技
2022-01-05,81.87,79.47,82.89,77.9,9315409.0,9315409.0,0.062790990310809,-0.0154856293359761,-1.25,,688005,容百科技
2022-01-05,73.5,70.07,74.57,69.93,2169891.0,2169891.0,0.0662194947909231,-0.0486082824168365,-3.5800000000000125,,688006,杭可科技
2022-01-05,33.8,32.97,33.86,32.61,5610083.0,5610083.0,0.037913254473764,-0.0196253345227476,-0.6600000000000037,,688007,光峰科技
