train_end,valid_start,valid_end,auc,accuracy,balanced_accuracy,high_conf_accuracy,coverage
2022-10-25,2022-10-31,2022-11-29,0.40606060606060607,0.7317073170731707,0.5,0.75,0.8780487804878049
2022-11-24,2022-11-30,2022-12-27,0.581453634085213,0.525,0.5,0.5517241379310345,0.725
2022-12-22,2022-12-28,2023-02-08,,0.9705882352941176,0.9705882352941176,1.0,0.6176470588235294
2023-02-03,2023-02-09,2023-03-13,0.6293706293706294,0.7027027027027027,0.5,0.6875,0.8648648648648649
2023-03-07,2023-03-14,2023-04-12,0.0,0.96,0.5,0.9444444444444444,0.72
2023-04-07,2023-04-13,2023-05-17,0.5588235294117647,0.5483870967741935,0.5,0.5483870967741935,1.0
2023-05-12,2023-05-18,2023-06-15,0.7701149425287357,0.8285714285714286,0.5,0.8181818181818182,0.9428571428571428
2023-06-12,2023-06-16,2023-07-17,0.6487603305785123,0.5,0.5,0.5128205128205128,0.8863636363636364
2023-07-12,2023-07-18,2023-08-14,0.9656862745098039,0.15,0.5,0.16666666666666666,0.9
2023-08-09,2023-08-15,2023-09-14,0.7004048582995952,0.75,0.7044534412955465,0.76,0.78125
2023-09-11,2023-09-15,2023-10-23,0.5347593582887701,0.4642857142857143,0.4144385026737968,0.5238095238095238,0.75
2023-10-18,2023-10-25,2023-11-24,0.4285714285714286,0.696969696969697,0.4423076923076923,0.75,0.6060606060606061
2023-11-21,2023-11-27,2023-12-25,0.3717948717948718,0.4838709677419355,0.4700854700854701,0.5,0.25806451612903225
2023-12-20,2023-12-29,2024-01-31,0.4722222222222222,0.18518518518518517,0.5416666666666666,0.08333333333333333,0.4444444444444444
2024-01-26,2024-02-01,2024-04-02,0.7105263157894737,0.7586206896551724,0.6736842105263158,0.8125,0.5517241379310345
2024-03-22,2024-04-03,2024-05-23,0.7569444444444444,0.76,0.6666666666666666,0.8571428571428571,0.56
2024-05-16,2024-05-24,2024-06-26,0.5227272727272727,0.6129032258064516,0.5568181818181819,0.6,0.3225806451612903
2024-06-21,2024-06-27,2024-08-05,0.6931818181818182,0.6296296296296297,0.5596590909090909,0.65,0.7407407407407407
2024-07-30,2024-08-06,2024-09-12,0.5037037037037037,0.375,0.38888888888888884,0.45454545454545453,0.4583333333333333
2024-09-09,2024-09-13,2024-11-18,1.0,1.0,1.0,1.0,0.7083333333333334
2024-10-25,2024-11-19,2024-12-24,0.8014705882352942,0.72,0.6948529411764706,0.9166666666666666,0.48
2024-12-19,2024-12-25,2025-02-20,0.6952380952380952,0.8461538461538461,0.6,0.88,0.9615384615384616
2025-02-17,2025-02-25,2025-03-28,0.7076923076923077,0.6086956521739131,0.5615384615384615,0.631578947368421,0.8260869565217391
2025-03-25,2025-03-31,2025-05-07,0.6587301587301587,0.6363636363636364,0.5,0.6153846153846154,0.7878787878787878
2025-04-28,2025-05-09,2025-06-24,0.9,0.7083333333333334,0.725,0.8888888888888888,0.75
2025-06-12,2025-06-25,2025-08-18,,0.6923076923076923,0.6923076923076923,0.9333333333333333,0.5769230769230769
2025-08-13,2025-08-19,2025-12-04,0.7941176470588235,0.8571428571428571,0.625,1.0,0.42857142857142855
