variant,label,train_end,valid_start,valid_end,auc,accuracy,balanced_accuracy,high_conf_accuracy,coverage
full_method,RDSW full (benchmark-thoughtful),2023-02-20,2023-02-28,2023-05-19,0.6868421052631579,0.6041666666666666,0.6763157894736842,0.6666666666666666,0.3125
full_method,RDSW full (benchmark-thoughtful),2023-05-16,2023-05-22,2023-07-21,0.5990338164251208,0.6271186440677966,0.6002415458937198,0.6666666666666666,0.3050847457627119
full_method,RDSW full (benchmark-thoughtful),2023-07-18,2023-07-24,2023-10-13,0.7547892720306514,0.6785714285714286,0.6730523627075351,0.696969696969697,0.5892857142857143
full_method,RDSW full (benchmark-thoughtful),2023-09-27,2023-10-16,2023-12-20,0.5158730158730158,0.49056603773584906,0.4928571428571429,0.52,0.4716981132075472
full_method,RDSW full (benchmark-thoughtful),2023-12-14,2023-12-22,2024-04-03,0.7321428571428571,0.6458333333333334,0.6892857142857143,0.6470588235294118,0.3541666666666667
full_method,RDSW full (benchmark-thoughtful),2024-03-22,2024-04-08,2024-07-18,0.6731182795698925,0.6521739130434783,0.6387096774193548,0.7,0.43478260869565216
full_method,RDSW full (benchmark-thoughtful),2024-07-08,2024-07-23,2024-11-20,0.5733333333333334,0.6444444444444445,0.6166666666666667,0.5652173913043478,0.5111111111111111
full_method,RDSW full (benchmark-thoughtful),2024-10-22,2024-11-22,2025-03-20,0.6322115384615384,0.7111111111111111,0.6141826923076923,0.8148148148148148,0.6
full_method,RDSW full (benchmark-thoughtful),2025-03-07,2025-03-21,2025-07-04,0.522077922077922,0.5869565217391305,0.4168831168831169,0.6875,0.6956521739130435
ablate_denoise_strength,Ablation: weaker denoising,2023-01-05,2023-01-11,2023-03-21,0.5185848634124496,0.5566037735849056,0.5443349753694582,0.5714285714285714,0.39622641509433965
ablate_denoise_strength,Ablation: weaker denoising,2023-03-15,2023-03-22,2023-05-24,0.6118266978922717,0.5730337078651685,0.5436182669789227,0.6486486486486487,0.4157303370786517
ablate_denoise_strength,Ablation: weaker denoising,2023-05-19,2023-05-25,2023-07-21,0.6993464052287581,0.6031746031746031,0.5850980392156863,0.7708333333333334,0.38095238095238093
