left,right,metric,test,n_pairs,left_mean,right_mean,mean_diff,p_value,significant_0p05
full_method,ablate_denoise_strength,accuracy,wilcoxon,9,0.6291598458323419,0.5749135228030477,0.054246323029294136,0.30078125,False
full_method,ablate_denoise_strength,balanced_accuracy,wilcoxon,9,0.6411686498739843,0.5596700900823507,0.08149855979163353,0.09765625,False
full_method,ablate_denoise_strength,auc,wilcoxon,9,0.7024141052150963,0.6073492303950832,0.09506487482001325,0.203125,False
full_method,ablate_time_decay,accuracy,wilcoxon,9,0.6291598458323419,0.6447910095933268,-0.015631163760984938,0.30078125,False
full_method,ablate_time_decay,balanced_accuracy,wilcoxon,9,0.6411686498739843,0.6576007169002038,-0.016432067026219545,0.359375,False
full_method,ablate_time_decay,auc,wilcoxon,9,0.7024141052150963,0.7031558375111793,-0.0007417322960829309,1.0,False
full_method,ablate_recent_window,accuracy,wilcoxon,9,0.6291598458323419,0.6180170076653687,0.011142838166973146,0.5625,False
full_method,ablate_recent_window,balanced_accuracy,wilcoxon,9,0.6411686498739843,0.6397103917537347,0.0014582581202496707,0.4375,False
full_method,ablate_recent_window,auc,wilcoxon,9,0.7024141052150963,0.7041432274349881,-0.0017291222198917617,0.84375,False
full_method,ablate_threshold_calibration,accuracy,sign_test,9,0.6291598458323419,0.6291598458323419,0.0,1.0,False
full_method,ablate_threshold_calibration,balanced_accuracy,sign_test,9,0.6411686498739843,0.6411686498739843,0.0,1.0,False
full_method,ablate_threshold_calibration,auc,sign_test,9,0.7024141052150963,0.7024141052150963,0.0,1.0,False
current_extra_trees,random_forest,accuracy,wilcoxon,9,0.6291598458323419,0.6434616920563373,-0.014301846223995286,0.4375,False
current_extra_trees,random_forest,balanced_accuracy,wilcoxon,9,0.6411686498739843,0.6464902005232287,-0.005321550649244512,0.9375,False
current_extra_trees,random_forest,auc,wilcoxon,9,0.7024141052150963,0.6835526138133942,0.018861491401702242,0.30078125,False
current_extra_trees,hist_gradient_boosting,accuracy,wilcoxon,9,0.6291598458323419,0.6285405799436956,0.0006192658886461921,1.0,False
current_extra_trees,hist_gradient_boosting,balanced_accuracy,wilcoxon,9,0.6411686498739843,0.5928853687862622,0.04828328108772201,0.359375,False
current_extra_trees,hist_gradient_boosting,auc,wilcoxon,9,0.7024141052150963,0.6553247658677716,0.04708933934732485,0.203125,False
current_extra_trees,logistic_regression,accuracy,wilcoxon,9,0.6291598458323419,0.5747319693376828,0.05442787649465911,0.078125,False
current_extra_trees,logistic_regression,balanced_accuracy,wilcoxon,9,0.6411686498739843,0.5870782282995568,0.05409042157442734,0.07421875,False
current_extra_trees,logistic_regression,auc,wilcoxon,9,0.7024141052150963,0.651585624664167,0.05082848055092934,0.09765625,False
